Date,Open,High,Low,Close,Adj Close,Volume
2023-02-15,88.125,88.125,88.125,88.125,88.125,0
2023-02-16,88.125,88.125,88.125,88.125,88.125,0
2023-02-17,88.125,88.125,88.125,88.125,88.125,0
2023-02-21,88.125,88.125,88.125,88.125,88.125,0
2023-02-22,88.125,88.125,88.125,88.125,88.125,0
2023-02-23,88.125,88.125,88.125,88.125,88.125,0
2023-02-24,88.125,88.125,88.125,88.125,88.125,0
2023-02-27,88.375,88.375,88.375,88.375,88.375,0
2023-02-28,88.375,88.375,88.375,88.375,88.375,0
2023-03-01,88.375,88.375,88.375,88.375,88.375,0
2023-03-02,88.375,88.375,88.375,88.375,88.375,0
2023-03-03,88.375,88.375,88.375,88.375,88.375,0
2023-03-07,88.375,88.375,88.375,88.375,88.375,0
2023-03-08,88.375,88.375,88.375,88.375,88.375,0
2023-03-09,88.375,88.375,88.375,88.375,88.375,0
2023-03-10,88.375,88.375,88.375,88.375,88.375,0
2023-03-13,88.375,88.375,88.375,88.375,88.375,0
2023-03-14,88.375,88.375,88.375,88.375,88.375,0
2023-03-15,88.375,88.375,88.375,88.375,88.375,0
2023-03-17,88.625,88.625,88.625,88.625,88.625,0
2023-03-20,88.625,88.625,88.625,88.625,88.625,0
2023-03-21,88.625,88.625,88.625,88.625,88.625,0
2023-03-22,88.625,88.625,88.625,88.625,88.625,0
2023-03-23,88.625,88.625,88.625,88.625,88.625,0
2023-03-24,88.625,88.625,88.625,88.625,88.625,0
2023-03-27,88.625,88.625,88.625,88.625,88.625,0
2023-03-28,88.625,88.625,88.625,88.625,88.625,0
2023-03-29,92.375,92.375,92.375,92.375,92.375,0
2023-03-30,92.375,92.375,92.375,92.375,92.375,0
2023-03-31,92.25,92.25,92.25,92.25,92.25,0
2023-04-03,92.375,92.375,92.375,92.375,92.375,0
2023-04-04,92.375,92.375,92.375,92.375,92.375,0
2023-04-05,92.5,92.5,92.5,92.5,92.5,0
2023-04-06,92.625,92.625,92.625,92.625,92.625,0
2023-04-10,92.625,92.625,92.625,92.625,92.625,0
2023-04-11,92.625,92.625,92.625,92.625,92.625,0
2023-04-12,92.5,92.5,92.5,92.5,92.5,0
2023-04-13,92.5,92.5,92.5,92.5,92.5,0
2023-04-14,92.5,92.5,92.5,92.5,92.5,0
2023-04-17,92.375,92.375,92.375,92.375,92.375,0
2023-04-18,92.375,92.375,92.375,92.375,92.375,0
2023-04-19,92.375,92.375,92.375,92.375,92.375,0
2023-04-20,92.375,92.375,92.375,92.375,92.375,0
2023-04-21,92.375,92.375,92.375,92.375,92.375,0
2023-04-24,92.375,92.375,92.375,92.375,92.375,0
2023-04-25,92.375,92.375,92.375,92.375,92.375,0
2023-04-26,92.375,92.375,92.375,92.375,92.375,0
2023-04-27,91.375,91.375,91.375,91.375,91.375,0
2023-04-28,91.375,91.375,91.375,91.375,91.375,0
2023-05-01,91.375,91.375,91.375,91.375,91.375,0
2023-05-02,91.375,91.375,91.375,91.375,91.375,0
2023-05-03,91.375,91.375,91.375,91.375,91.375,0
2023-05-04,91.375,91.375,91.375,91.375,91.375,0
2023-05-05,91.375,91.375,91.375,91.375,91.375,0
2023-05-08,91.375,91.375,91.375,91.375,91.375,0
2023-05-09,91.375,91.375,91.375,91.375,91.375,0
2023-05-10,91.375,91.375,91.375,91.375,91.375,0
2023-05-11,91.375,91.375,91.375,91.375,91.375,0
2023-05-12,91.375,91.375,91.375,91.375,91.375,0
2023-05-15,91.375,91.375,91.375,91.375,91.375,0
2023-05-16,91.375,91.375,91.375,91.375,91.375,0
2023-05-17,91.125,91.125,91.125,91.125,91.125,0
2023-05-18,91.125,91.125,91.125,91.125,91.125,0
2023-05-19,91.125,91.125,91.125,91.125,91.125,0
2023-05-22,91.125,91.125,91.125,91.125,91.125,0
2023-05-23,91.125,91.125,91.125,91.125,91.125,0
2023-05-24,91.125,91.125,91.125,91.125,91.125,0
2023-05-25,91.125,91.125,91.125,91.125,91.125,0
2023-05-26,91.125,91.125,91.125,91.125,91.125,0
2023-05-30,91.125,91.125,91.125,91.125,91.125,0
2023-05-31,90.75,90.75,90.75,90.75,90.75,0
2023-06-01,90.75,90.75,90.75,90.75,90.75,0
2023-06-02,90.75,90.75,90.75,90.75,90.75,0
2023-06-05,90.75,90.75,90.75,90.75,90.75,0
2023-06-06,90.75,90.75,90.75,90.75,90.75,0
2023-06-07,90.75,90.75,90.75,90.75,90.75,0
2023-06-08,90.75,90.75,90.75,90.75,90.75,0
2023-06-09,90.75,90.75,90.75,90.75,90.75,0
2023-06-12,90.75,90.75,90.75,90.75,90.75,0
2023-06-13,90.75,90.75,90.75,90.75,90.75,0
2023-06-14,90.75,90.75,90.75,90.75,90.75,0
2023-06-28,90.75,90.75,90.75,90.75,90.75,0
2023-06-29,90.75,90.75,90.75,90.75,90.75,0
2023-06-30,91.0,91.0,91.0,91.0,91.0,0
2023-07-03,91.0,91.0,91.0,91.0,91.0,0
2023-07-05,91.0,91.0,91.0,91.0,91.0,0
2023-07-06,91.0,91.0,91.0,91.0,91.0,0
2023-07-07,91.0,91.0,91.0,91.0,91.0,0
2023-07-10,91.0,91.0,91.0,91.0,91.0,0
2023-07-11,91.25,91.25,91.25,91.25,91.25,0
2023-07-12,91.25,91.25,91.25,91.25,91.25,0
2023-07-13,91.25,91.25,91.25,91.25,91.25,0
2023-07-14,91.25,91.25,91.25,91.25,91.25,0
2023-07-19,91.5,91.5,91.5,91.5,91.5,0
2023-07-20,91.5,91.5,91.5,91.5,91.5,0
2023-07-21,91.5,91.5,91.5,91.5,91.5,0
2023-07-24,91.5,91.5,91.5,91.5,91.5,0
2023-07-25,91.5,91.5,91.5,91.5,91.5,0
2023-07-26,91.75,91.75,91.75,91.75,91.75,0
2023-07-27,91.75,91.75,91.75,91.75,91.75,0
2023-07-28,91.75,91.75,91.75,91.75,91.75,0
