Date,Open,High,Low,Close,Adj Close,Volume
2023-05-16,84.69499969482422,84.69499969482422,84.69499969482422,84.69499969482422,84.69499969482422,0
2023-05-17,84.82499694824219,84.82499694824219,84.82499694824219,84.82499694824219,84.82499694824219,0
2023-05-18,84.32499694824219,84.32499694824219,84.32499694824219,84.32499694824219,84.32499694824219,0
2023-05-19,83.84500122070312,83.84500122070312,83.84500122070312,83.84500122070312,83.84500122070312,0
2023-05-22,84.1449966430664,84.1449966430664,84.1449966430664,84.1449966430664,84.1449966430664,0
2023-05-23,83.8949966430664,83.8949966430664,83.8949966430664,83.8949966430664,83.8949966430664,0
2023-05-24,83.86499786376953,83.86499786376953,83.86499786376953,83.86499786376953,83.86499786376953,0
2023-05-25,84.11499786376953,84.11499786376953,84.11499786376953,84.11499786376953,84.11499786376953,0
2023-05-26,83.375,83.375,83.375,83.375,83.375,0
2023-05-30,83.66500091552734,83.66500091552734,83.66500091552734,83.66500091552734,83.66500091552734,0
2023-05-31,83.99500274658203,83.99500274658203,83.99500274658203,83.99500274658203,83.99500274658203,0
2023-06-01,84.04499816894531,84.04499816894531,84.04499816894531,84.04499816894531,84.04499816894531,0
2023-06-02,84.41500091552734,84.41500091552734,84.41500091552734,84.41500091552734,84.41500091552734,0
2023-06-05,84.2750015258789,84.2750015258789,84.2750015258789,84.2750015258789,84.2750015258789,0
2023-06-06,84.33499908447266,84.33499908447266,84.33499908447266,84.33499908447266,84.33499908447266,0
2023-06-07,84.2249984741211,84.2249984741211,84.2249984741211,84.2249984741211,84.2249984741211,0
2023-06-08,83.82499694824219,83.82499694824219,83.82499694824219,83.82499694824219,83.82499694824219,0
2023-06-09,84.50499725341797,84.50499725341797,84.50499725341797,84.50499725341797,84.50499725341797,0
2023-06-12,83.59500122070312,83.59500122070312,83.59500122070312,83.59500122070312,83.59500122070312,0
2023-06-13,83.71499633789062,83.71499633789062,83.71499633789062,83.71499633789062,83.71499633789062,0
2023-06-14,83.61499786376953,83.61499786376953,83.61499786376953,83.61499786376953,83.61499786376953,0
2023-06-28,83.41500091552734,83.41500091552734,83.41500091552734,83.41500091552734,83.41500091552734,0
2023-06-29,83.59500122070312,83.59500122070312,83.59500122070312,83.59500122070312,83.59500122070312,0
2023-06-30,83.03500366210938,83.03500366210938,83.03500366210938,83.03500366210938,83.03500366210938,0
2023-07-03,83.38500213623047,83.38500213623047,83.38500213623047,83.38500213623047,83.38500213623047,0
2023-07-05,83.7750015258789,83.7750015258789,83.7750015258789,83.7750015258789,83.7750015258789,0
2023-07-06,83.23500061035156,83.23500061035156,83.23500061035156,83.23500061035156,83.23500061035156,0
2023-07-07,82.68499755859375,82.68499755859375,82.68499755859375,82.68499755859375,82.68499755859375,0
2023-07-10,82.73500061035156,82.73500061035156,82.73500061035156,82.73500061035156,82.73500061035156,0
2023-07-11,83.01499938964844,83.01499938964844,83.01499938964844,83.01499938964844,83.01499938964844,0
2023-07-12,83.2249984741211,83.2249984741211,83.2249984741211,83.2249984741211,83.2249984741211,0
2023-07-13,83.875,83.875,83.875,83.875,83.875,0
2023-07-14,84.51499938964844,84.51499938964844,84.51499938964844,84.51499938964844,84.51499938964844,0
2023-07-19,84.17500305175781,84.17500305175781,84.17500305175781,84.17500305175781,84.17500305175781,0
2023-07-20,84.21499633789062,84.21499633789062,84.21499633789062,84.21499633789062,84.21499633789062,0
2023-07-21,84.05500030517578,84.05500030517578,84.05500030517578,84.05500030517578,84.05500030517578,0
2023-07-24,83.74500274658203,83.74500274658203,83.74500274658203,83.74500274658203,83.74500274658203,0
2023-07-25,83.70500183105469,83.70500183105469,83.70500183105469,83.70500183105469,83.70500183105469,0
2023-07-26,83.56500244140625,83.56500244140625,83.56500244140625,83.56500244140625,83.56500244140625,0
2023-07-27,83.91500091552734,83.91500091552734,83.91500091552734,83.91500091552734,83.91500091552734,0
2023-07-28,83.3550033569336,83.3550033569336,83.3550033569336,83.3550033569336,83.3550033569336,0
